sample_no,time_step,mq2,mq3,mq5,mq138
0,0,1.0216483282142457,1.0268469891370793,0.8400656528938317,0.9583118126294902
0,1,1.0175227062578693,1.0284565693041354,0.8735444173193546,0.962058431889414
0,2,0.9909138750119134,1.0029218787126752,0.8752575049792055,0.9886278305630876
0,3,1.0346967871617796,1.0149990507144422,0.8320121864877236,0.9717178147312826
0,4,0.9977934022303053,0.9892385853703942,0.8950397784553196,0.9515480325292305
0,5,1.0355583998973603,0.9940299743328272,0.8718263907259902,1.0024406011978615
0,6,1.041193891966619,0.977430433515491,0.8395100326582872,0.9509643707907842
0,7,0.998261452501958,1.014827287036743,0.864741451631677,0.9843485458107115
0,8,1.045835957831704,1.0170282403859983,0.8676659389283566,0.9936902489266614
0,9,1.0223777085630064,0.9882771663815091,0.8489050464848049,0.9767137322433699
0,10,0.9904258563512411,1.0333040310072945,0.8550586047920067,0.9724432955823255
0,11,1.0513452785998256,0.9819724117027243,0.8729852430872043,0.9968342736524128
0,12,1.0365691366260226,0.9702500625283195,0.8421190270192715,0.9737441120709027
0,13,1.0476921709909286,0.9949805826887923,0.8773820318989699,0.9667618351033233
0,14,1.0201257242654354,1.008581689505013,0.845790234678474,0.9990268736863338
0,15,0.996086728711646,0.9966941987873341,0.8319467634248939,0.9552274614950655
0,16,1.0123167533549564,0.9857905163589492,0.8582204863116437,0.993280010017381
0,17,1.0318045386973929,0.9879910659046012,0.869725908977453,0.9429791568117726
0,18,0.9947720170462069,0.9791034159584868,0.8304956429631852,0.9476526688506555
0,19,1.0881725841054213,0.9965747029141248,0.8241239085956827,0.9759989538121622
0,20,1.0030699259218872,0.990945560512672,0.8525766318725782,0.9839388770350729
0,21,0.9563848324217523,0.9345764619838212,0.8171359416497275,0.8894856008713221
0,22,0.9140573206172241,0.8483861796218684,0.7757991588798996,0.7947012924358894
0,23,0.8667498820684846,0.7470163967942677,0.7030032027765284,0.7386188028041345
0,24,0.7840431100474557,0.6990092629230317,0.6623077965715892,0.70875814543022
0,25,0.7594990372557214,0.6285181847201013,0.6218671003901628,0.6262002616307358
0,26,0.7007741057906585,0.5902299032352204,0.5891279012251996,0.5780306369693904
0,27,0.6887097308321667,0.5542622458870385,0.5893158680483529,0.5318682802848042
0,28,0.6508527515727318,0.49116108777570316,0.5515810807003034,0.46146411311873314
0,29,0.6132431885861466,0.449677000045807,0.5262924113888541,0.42331622700613386
0,30,0.5699163236938539,0.43282118197386205,0.5068082106717638,0.3871282346112715
0,31,0.5573050316304277,0.3842459393541728,0.4785778111258513,0.3485805583635683
0,32,0.527097163423543,0.33368525510999375,0.42900725893610037,0.33436277554281935
0,33,0.46585312251008654,0.32904349264123484,0.4192505264673113,0.2967507837565926
0,34,0.4744903526060702,0.3083092729160276,0.42786414686008134,0.27590526142748145
0,35,0.4491359075483997,0.2943321898678571,0.41654159636520144,0.25110641430506575
